IdConglomerado,Anio,Estado,Municipio,Formato,Tipo_cgl,Veg_prim_levantada,Veg_sec_levantada,Veg_prim_esperada,Veg_sec_esperada,Latitud,Longitud,X,Y,Altitud,Sitio,Registro,Arbol,Genero_Especie,forma_biologica,Condicion,NomComun,DiametroNormal,AlturaTotal,DiametroCopa,AlturaFusteLimpio,AlturaComercial,Distancia,Azimut
54983,2013,Jalisco,Talpa de Allende,Bosque,Inicial,BQP,VSA,BQP,VSna,20 26 3.6,-105 2 14.5,-105.0373607778,20.434333,1767,4,14,13,Quercus magnoliifolia,Arbol,Vivo,Roble,13.7,6.8,3.1,1.9,2.9,1.2,330
58245,2013,Jalisco,Mazamitla,Bosque,Inicial,BPQ,VSA,BQP,VSna,19 52 18,-103 3 36.2,-103.0600555556,19.871666,1800,1,14,14,Quercus magnoliifolia,Arbol,Vivo,Encino,15.5,5.3,2.5,1.6,2.8,8.5,269
58245,2013,Jalisco,Mazamitla,Bosque,Inicial,BPQ,VSA,BQP,VSna,19 52 18,-103 3 36.2,-103.0600555556,19.871666,1800,1,15,15,Quercus magnoliifolia,Arbol,Vivo,Encino,31.4,12.4,3.9,2.4,7.8,7.36,287
54271,2013,Jalisco,Mascota,Bosque,Inicial,BPQ,VSA,BPQ,VSna,20 34 43,-104 36 24,-104.6066666667,20.5786104444,1885,1,29,27,Quercus magnoliifolia,Arbol,Vivo,Encino,35,12,8,6.5,7.2,5.73,336
54271,2013,Jalisco,Mascota,Bosque,Inicial,BPQ,VSA,BPQ,VSna,20 34 43,-104 36 24,-104.6066666667,20.5786104444,1885,1,4,4,Quercus magnoliifolia,Arbol,Vivo,Encino,9.6,6.2,2.1,2.4,0,10.77,26
54271,2013,Jalisco,Mascota,Bosque,Inicial,BPQ,VSA,BPQ,VSna,20 34 43,-104 36 24,-104.6066666667,20.5786104444,1885,1,10,8,Quercus magnoliifolia,Arbol,Vivo,Encino,29.1,9.2,5.7,3.3,4.9,5.42,131
54271,2013,Jalisco,Mascota,Bosque,Inicial,BPQ,VSA,BPQ,VSna,20 34 43,-104 36 24,-104.6066666667,20.5786104444,1885,1,11,9,Quercus magnoliifolia,Arbol,Vivo,Encino,16.3,15.9,2.9,2.9,3.7,11.46,132
54271,2013,Jalisco,Mascota,Bosque,Inicial,BPQ,VSA,BPQ,VSna,20 34 43,-104 36 24,-104.6066666667,20.5786104444,1885,1,17,15,Quercus magnoliifolia,Arbol,Vivo,Encino,23.2,10,2.5,5,5.1,6.41,228
54271,2013,Jalisco,Mascota,Bosque,Inicial,BPQ,VSA,BPQ,VSna,20 34 42,-104 36 22.7,-104.6063055556,20.5783326667,1885,3,12,12,Quercus magnoliifolia,Arbol,Vivo,Encino,11.2,8.3,2.6,2.3,2.1,1.26,290
54271,2013,Jalisco,Mascota,Bosque,Inicial,BPQ,VSA,BPQ,VSna,20 34 42,-104 36 22.7,-104.6063055556,20.5783326667,1885,3,15,15,Quercus magnoliifolia,Arbol,Vivo,Encino,10.7,8.2,3,4.6,3.3,5.89,337
54271,2013,Jalisco,Mascota,Bosque,Inicial,BPQ,VSA,BPQ,VSna,20 34 42,-104 36 22.7,-104.6063055556,20.5783326667,1885,3,17,17,Quercus magnoliifolia,Arbol,Vivo,Encino,13,3.5,2.1,1.5,1.7,9.71,347
50329,2013,Nayarit,La Yesca,Bosque,Inicial,BQP,VSA,BQP,VSna,21 21 23.5,-104 5 16.8,-104.0879996667,21.3565277778,1666,4,11,11,Quercus resinosa,Arbol,Vivo,Encino Roble Amarillo,9.5,6.1,2.5,1.3,0,5.7,340
50329,2013,Nayarit,La Yesca,Bosque,Inicial,BQP,VSA,BQP,VSna,21 21 23,-104 5 14.3,-104.0873052222,21.3563888889,1666,3,1,1,Quercus resinosa,Arbol,Vivo,Encino Roble Amarillo,29.1,9.8,5.5,2.2,5.7,7.6,8
45606,2013,Nayarit,Acaponeta,Selva,Inicial,SMS,VSA,SMS,VSA,22 23 3.4,-105 8 4.5,-105.134583,22.3842774444,854,2,1,1,Quercus resinosa,Arbol,Vivo,Encino roble amarillo,12.5,6.9,1.8,2.7,-9999,16,330
45606,2013,Nayarit,Acaponeta,Selva,Inicial,SMS,VSA,SMS,VSA,22 23 3.4,-105 8 4.5,-105.134583,22.3842774444,854,2,2,2,Quercus resinosa,Arbol,Vivo,Encino roble amarillo,11.8,5.2,2.5,2.2,-9999,14.9,10
45606,2013,Nayarit,Acaponeta,Selva,Inicial,SMS,VSA,SMS,VSA,22 23 3.4,-105 8 4.5,-105.134583,22.3842774444,854,2,3,2,Quercus resinosa,Arbol,Vivo,Encino roble amarillo,7.8,4.9,1.3,1.8,-9999,14.5,16
45606,2013,Nayarit,Acaponeta,Selva,Inicial,SMS,VSA,SMS,VSA,22 23 1.4,-105 8 3.8,-105.1343885556,22.3837218889,854,3,13,8,Quercus resinosa,Arbol,Vivo,Encino roble amarillo,27.5,5.4,3,1.6,-9999,2.6,186
45606,2013,Nayarit,Acaponeta,Selva,Inicial,SMS,VSA,SMS,VSA,22 23 1.4,-105 8 3.8,-105.1343885556,22.3837218889,854,3,14,9,Quercus resinosa,Arbol,Vivo,Encino roble amarillo,15.6,4.9,2.8,1.9,-9999,7.4,140
45606,2013,Nayarit,Acaponeta,Selva,Inicial,SMS,VSA,SMS,VSA,22 23 1.4,-105 8 3.8,-105.1343885556,22.3837218889,854,3,16,11,Quercus resinosa,Arbol,Vivo,Encino roble amarillo,11.8,5.1,1.8,1.4,-9999,16.2,140
57454,2013,Jalisco,Tomatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,19 59 8.2,-104 47 12.7,-104.7868607778,19.9856107778,361,3,1,1,Quercus resinosa,Arbol,Vivo,Encino,10.4,9.6,2,4.5,8.5,9,16
57454,2013,Jalisco,Tomatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,19 59 8.2,-104 47 12.7,-104.7868607778,19.9856107778,361,3,2,2,Quercus resinosa,Arbol,Vivo,Encino,29.7,9.3,4.1,2,7.4,6,20
55731,2013,Jalisco,Tecolotlan,Bosque,Inicial,BPQ,VSA,BQP,VSna,20 18 54.3,-104 1 30.4,-104.0251104444,20.3150833333,2311,4,17,15,Quercus urbanii,Arbol,Vivo,Encino rojo,19.4,6.2,2.6,1.4,3.7,11,220
55731,2013,Jalisco,Tecolotlan,Bosque,Inicial,BPQ,VSA,BQP,VSna,20 18 54.3,-104 1 30.4,-104.0251104444,20.3150833333,2311,4,18,16,Quercus urbanii,Arbol,Vivo,Encino rojo,10.5,5.6,1.7,2.6,2.4,10.8,221
55731,2013,Jalisco,Tecolotlan,Bosque,Inicial,BPQ,VSA,BQP,VSna,20 18 54.3,-104 1 30.4,-104.0251104444,20.3150833333,2311,4,19,17,Quercus urbanii,Arbol,Vivo,Encino rojo,15.7,5.6,1.7,2.3,2.8,10.7,222
55731,2013,Jalisco,Tecolotlan,Bosque,Inicial,BPQ,VSA,BQP,VSna,20 18 54.3,-104 1 30.4,-104.0251104444,20.3150833333,2311,4,20,17,Quercus urbanii,Arbol,Vivo,Encino rojo,7.5,4.3,1.6,3.3,0,10.5,223
50329,2013,Nayarit,La Yesca,Bosque,Inicial,BQP,VSA,BQP,VSna,21 21 23.8,-104 5 15.4,-104.0876107778,21.3566111111,1666,1,4,4,Quercus gentryi,Arbol,Vivo,Encino Saucillo,18.6,8.7,2.1,2.6,3.8,8,90
55731,2013,Jalisco,Tecolotlan,Bosque,Inicial,BPQ,VSA,BQP,VSna,20 18 54.9,-104 1 29,-104.0247215556,20.31525,2311,1,1,1,Quercus urbanii,Arbol,Vivo,Encino rojo,13.5,3.8,2.8,1.4,1.4,5,3
55731,2013,Jalisco,Tecolotlan,Bosque,Inicial,BPQ,VSA,BQP,VSna,20 18 54.9,-104 1 29,-104.0247215556,20.31525,2311,1,2,2,Quercus urbanii,Arbol,Vivo,Encino rojo,9.5,4.5,4.5,1.9,0,4.6,15
55731,2013,Jalisco,Tecolotlan,Bosque,Inicial,BPQ,VSA,BQP,VSna,20 18 54.9,-104 1 29,-104.0247215556,20.31525,2311,1,3,3,Quercus urbanii,Arbol,Vivo,Encino rojo,31,7.6,8,3.7,6,8.5,20
55731,2013,Jalisco,Tecolotlan,Bosque,Inicial,BPQ,VSA,BQP,VSna,20 18 54.9,-104 1 29,-104.0247215556,20.31525,2311,1,4,3,Quercus urbanii,Arbol,Vivo,Encino rojo,25,7.4,8.6,5.8,6.2,8.2,22
54027,2013,Jalisco,Puerto Vallarta,Selva,Inicial,SMS,VSA,SMS,VSaa,20 36 48.2,-105 11 6.9,-105.1852496667,20.6133888889,587,2,1,1,Piranhea mexicana,Arbol,Vivo,Guayabillo,13.2,7.3,4.5,3.9,-9999,22.3,350
57454,2013,Jalisco,Tomatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,19 59 8.2,-104 47 12.7,-104.7868607778,19.9856107778,361,3,3,3,Quercus resinosa,Arbol,Vivo,Encino,12.5,7.7,2.2,3,4.5,8.7,64
57454,2013,Jalisco,Tomatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,19 59 8.2,-104 47 12.7,-104.7868607778,19.9856107778,361,3,4,4,Quercus resinosa,Arbol,Vivo,Encino,23,9.8,2.7,6,7.1,11.2,140
57454,2013,Jalisco,Tomatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,19 59 8.2,-104 47 12.7,-104.7868607778,19.9856107778,361,3,5,5,Quercus resinosa,Arbol,Vivo,Encino,19,9.4,3.2,3,6.5,4.7,262
57454,2013,Jalisco,Tomatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,19 59 8.2,-104 47 12.7,-104.7868607778,19.9856107778,361,3,6,6,Quercus resinosa,Arbol,Vivo,Encino,32.6,9.4,4.2,5,6.1,10.2,274
57454,2013,Jalisco,Tomatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,19 59 8.2,-104 47 12.7,-104.7868607778,19.9856107778,361,3,7,7,Quercus resinosa,Arbol,Vivo,Encino,13.4,8.3,2.1,2.1,3.8,5.4,282
57454,2013,Jalisco,Tomatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,19 59 8.2,-104 47 12.7,-104.7868607778,19.9856107778,361,3,8,8,Quercus resinosa,Arbol,Vivo,Encino,20,9.9,3.3,7.1,7.6,6.6,284
59727,2013,Jalisco,Casimiro Castillo,Bosque,Inicial,BQ,VSA,BQ,VSaa,19 35 4.2,-104 23 45.7,-104.3960274444,19.5844996667,1128,3,1,1,Quercus resinosa,Arbol,Vivo,Roble,40.2,13.7,7.9,7.5,11.6,8.84,12
57454,2013,Jalisco,Tomatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,19 59 8.2,-104 47 12.7,-104.7868607778,19.9856107778,361,3,9,9,Quercus resinosa,Arbol,Vivo,Encino,26.5,9.6,3.2,7.5,7.5,7.8,302
57454,2013,Jalisco,Tomatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,19 59 8.2,-104 47 12.7,-104.7868607778,19.9856107778,361,3,10,10,Quercus resinosa,Arbol,Vivo,Encino,21.4,9.7,2.2,6,7.5,8.3,322
53819,2013,Jalisco,Etzatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,20 40 40.6,-104 4 41.7,-104.0782493333,20.6779437778,1765,2,15,14,Quercus resinosa,Arbol,Vivo,Encino,8.5,7.9,1.4,3.3,0,8.63,93
53819,2013,Jalisco,Etzatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,20 40 40.6,-104 4 41.7,-104.0782493333,20.6779437778,1765,2,16,15,Quercus resinosa,Arbol,Vivo,Encino,19,14.4,4.8,5.3,8.2,8.8,95
53819,2013,Jalisco,Etzatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,20 40 40.6,-104 4 41.7,-104.0782493333,20.6779437778,1765,2,17,16,Quercus resinosa,Arbol,Vivo,Encino,20.3,13.6,6.1,3.8,7.1,11.26,98
53819,2013,Jalisco,Etzatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,20 40 40.6,-104 4 41.7,-104.0782493333,20.6779437778,1765,2,18,17,Quercus resinosa,Arbol,Vivo,Encino,17.3,15,4.3,9.8,9.8,7.43,121
62762,2013,Colima,Armeria,Selva,Inicial,SMS,VSA,SMS,VSA,19 2 51.2,-103 57 30,-103.9583333333,19.0475552222,287,2,19,13,Alvaradoa amorphoides,Arbol,Muerto en pie,Tamarindillo,10.8,6.1,-9999,0,-9999,3.3,236
62762,2013,Colima,Armeria,Selva,Inicial,SMS,VSA,SMS,VSA,19 2 51.2,-103 57 30,-103.9583333333,19.0475552222,287,2,20,14,Alvaradoa amorphoides,Arbol,Vivo,Tamarindillo,11.4,6.4,3.9,4,-9999,3.2,233
62762,2013,Colima,Armeria,Selva,Inicial,SMS,VSA,SMS,VSA,19 2 51.2,-103 57 30,-103.9583333333,19.0475552222,287,2,24,18,Alvaradoa amorphoides,Arbol,Vivo,Tamarindillo,21,11.3,6.4,4.7,-9999,6,204
62762,2013,Colima,Armeria,Selva,Inicial,SMS,VSA,SMS,VSA,19 2 51.2,-103 57 30,-103.9583333333,19.0475552222,287,2,25,19,Alvaradoa amorphoides,Arbol,Vivo,Tamarindillo,14.6,10.5,6.8,5.2,-9999,5.73,179
62762,2013,Colima,Armeria,Selva,Inicial,SMS,VSA,SMS,VSA,19 2 51.2,-103 57 30,-103.9583333333,19.0475552222,287,2,26,20,Alvaradoa amorphoides,Arbol,Vivo,Tamarindillo,10.9,10.7,4.8,4.1,-9999,6.1,162
62762,2013,Colima,Armeria,Selva,Inicial,SMS,VSA,SMS,VSA,19 2 51.2,-103 57 30,-103.9583333333,19.0475552222,287,2,28,22,Alvaradoa amorphoides,Arbol,Vivo,Tamarindillo,8,4.5,4.6,1.7,-9999,7.24,154
55974,2013,Jalisco,Tecolotlan,Bosque,Inicial,BQ,VSA,BQ,VSna,20 16 16.5,-103 55 42.5,-103.9284715556,20.2712493333,1726,4,20,14,Acacia pennatula,Arbol,Vivo,Tepame,7.5,3.4,2.1,2,0,4.2,183
55974,2013,Jalisco,Tecolotlan,Bosque,Inicial,BQ,VSA,BQ,VSna,20 16 16.5,-103 55 42.5,-103.9284715556,20.2712493333,1726,4,15,10,Acacia pennatula,Arbol,Vivo,Tepame,8,4.1,2.3,1.8,0,6.65,140
44502,2013,Jalisco,Huejuquilla el Alto,Bosque,Inicial,BQ,VSA,BQ,VSA,22 43 20,-103 51 55.7,-103.8654722222,22.7222215556,2024,3,1,1,Acacia pennatula,Arbol,Vivo,Tepame,8.7,3.5,2.2,1.4,0,4.9,121
53819,2013,Jalisco,Etzatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,20 40 40.6,-104 4 41.7,-104.0782493333,20.6779437778,1765,2,19,18,Quercus resinosa,Arbol,Vivo,Encino,7.8,5.5,3.5,4,0,9.46,126
53819,2013,Jalisco,Etzatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,20 40 40.6,-104 4 41.7,-104.0782493333,20.6779437778,1765,2,20,19,Quercus resinosa,Arbol,Vivo,Encino,16.2,12,3.9,8.1,8.1,6.18,163
53819,2013,Jalisco,Etzatlan,Bosque,Inicial,BQ,VSA,BQ,VSna,20 40 40.6,-104 4 41.7,-104.0782493333,20.6779437778,1765,2,21,20,Quercus resinosa,Arbol,Vivo,Encino,26.6,11.5,6.8,5,5,9.7,170
58205,2013,Jalisco,Villa Purificacion,Bosque,Inicial,BQ,VSA,BQ,VSaa,19 50 47.1,-104 58 33,-104.9758326667,19.8464163333,204,1,1,1,Quercus resinosa,Arbol,Vivo,Roble,24.7,10.2,3.1,6,6,8,14
58205,2013,Jalisco,Villa Purificacion,Bosque,Inicial,BQ,VSA,BQ,VSaa,19 50 48.5,-104 58 32.8,-104.9757771111,19.8468052222,204,2,1,1,Quercus resinosa,Arbol,Vivo,Roble,43,12.1,6.5,3.1,10,4.9,64
